HGNC_SYMBOL,LOG2FC,PVALUE
APC2,-0.261,0.266
APCDD1,0.278,0.308
APCDD1L,0.549,0.236
APCS,0.012,0.926
APEH,-0.081,0.608
APEX1,0.014,0.817
APEX2,0.103,0.318
APH1A,-0.168,0.191
APH1B,0.153,0.103
API5,0.046,0.784
APIP,-0.104,0.305
APITD1,-0.154,0.109
APLF,0.093,0.441
APLN,-0.297,0.134
APLNR,0.041,0.932
APLP1,0.012,0.928
APLP2,-0.210,0.106
APOA1,0.243,0.017
APOA1BP,-0.016,0.082
APOA2,-0.179,0.190
APOA4,-0.274,0.024
APOA5,-0.010,0.969
APOB,-0.170,0.404
APOBEC1,0.019,0.762
APOBEC2,-0.104,0.358
APOBEC3A,-0.325,0.314
APOBEC3B,0.373,0.001
APOBEC3C,-0.182,0.704
APOBEC3D,0.106,0.484
APOBEC3F,-0.080,0.445
APOBEC3G,0.097,0.563
APOBEC3H,0.681,0.135
APOBEC4,0.010,0.867
APOBR,0.208,0.791
APOC1,1.490,0.000
APOC2,0.132,0.285
APOC3,-0.011,0.942
APOC4,0.153,0.330
APOD,-0.364,0.205
APOE,0.558,0.002
APOF,-1.160,0.001
APOH,-0.473,0.024
APOL1,0.007,0.940
APOL2,-0.070,0.534
APOL3,0.342,0.010
APOL4,0.003,0.903
APOL5,-0.012,0.986
APOL6,-0.122,0.620
APOLD1,0.076,0.667
APOM,-0.134,0.205
APOO,-0.254,0.024
APOOL,-0.151,0.074
APOPT1,-0.029,0.727
APP,-0.030,0.945
APPBP2,-0.003,0.962
APPL1,-0.161,0.198
APPL2,-0.063,0.642
APRT,0.002,0.974
APTX,-0.082,0.221
AQP1,-0.466,0.055
AQP10,0.001,0.998
AQP11,0.198,0.076
AQP12A,0.027,0.711
AQP2,0.086,0.809
AQP3,-0.615,0.000
AQP4,-0.137,0.180
AQP5,0.212,0.339
AQP6,-0.062,0.250
AQP7,-0.253,0.183
AQP7P1,-0.712,0.000
AQP7P3,-0.206,0.057
AQP8,0.241,0.519
AQP9,0.449,0.004
AQPEP,0.188,0.775
AQR,0.076,0.597
AR,-0.379,0.011
ARAF,0.002,0.993
ARAF2P,0.177,0.167
ARAP1,0.006,0.714
ARAP2,0.014,0.914
ARAP3,0.174,0.453
ARC,1.320,0.165
ARCN1,0.057,0.921
AREG,-0.637,0.004
ARF1,-0.031,0.621
ARF3,0.125,0.278
ARF4,-0.031,0.891
ARF5,-0.138,0.158
ARF6,-0.052,0.741
ARFGAP1,0.129,0.268
ARFGAP2,0.259,0.374
ARFGAP3,-0.068,0.345
ARFGEF1,0.171,0.703
ARFGEF2,0.119,0.326
ARFIP1,-0.121,0.490
ARFIP2,0.107,0.265
ARFRP1,0.011,0.873
ARG1,-1.370,0.006
ARG2,0.139,0.336
ARGFX,0.214,0.647
ARGFXP2,0.293,0.278
ARGLU1,-0.103,0.656
ARHGAP1,0.002,0.977
ARHGAP10,0.076,0.583
ARHGAP11A,-0.141,0.947
ARHGAP11B,0.254,0.532
ARHGAP12,-0.218,0.023
ARHGAP15,-0.013,0.827
ARHGAP17,-0.240,0.592
